heart_rate,rr_mean,rr_std,sdnn,rmssd,beat_variance,label,record
75.08,799.2,34.57,34.57,41.38,1195.2,0,100
74.78,802.4,136.14,136.14,225.86,18532.8,1,100
74.69,803.33,115.86,115.86,169.99,13423.47,1,100
74.44,806.0,63.03,63.03,80.78,3972.8,0,100
73.31,818.4,49.85,49.85,74.16,2484.8,0,100
74.7,803.2,57.23,57.23,99.26,3275.2,0,100
73.17,820.0,54.77,54.77,76.5,3000.0,0,100
75.68,792.8,38.72,38.72,62.8,1499.2,0,100
75.53,794.4,43.96,43.96,67.23,1932.8,0,100
73.75,813.6,31.7,31.7,54.48,1004.8,0,100
73.82,812.8,25.67,25.67,24.82,659.2,0,100
73.31,818.4,24.43,24.43,33.05,596.8,0,100
74.18,808.8,56.6,56.6,99.94,3203.2,0,100
73.24,819.2,49.83,49.83,42.19,2483.2,0,100
73.1,820.8,45.11,45.11,39.29,2035.2,0,100
74.78,802.4,53.56,53.56,52.08,2868.8,0,100
74.44,806.0,48.65,48.65,78.34,2366.4,0,100
75.06,799.33,54.75,54.75,74.58,2997.87,0,100
72.74,824.8,25.2,25.2,28.07,635.2,0,100
75.53,794.4,29.61,29.61,45.17,876.8,0,100
72.89,823.2,51.1,51.1,66.0,2611.2,0,100
73.31,818.4,59.84,59.84,85.91,3580.8,0,100
75.99,789.6,34.83,34.83,38.05,1212.8,0,100
73.03,821.6,41.72,41.72,51.15,1740.8,0,100
75.23,797.6,45.04,45.04,74.94,2028.8,0,100
74.63,804.0,45.43,45.43,58.72,2064.0,0,100
73.96,811.2,24.07,24.07,37.63,579.2,0,100
74.75,802.67,38.42,38.42,59.65,1476.27,0,100
73.67,814.4,37.69,37.69,26.83,1420.8,0,100
73.6,815.2,38.09,38.09,28.64,1451.2,0,100
71.63,837.6,28.51,28.51,49.64,812.8,0,100
74.85,801.6,50.64,50.64,55.61,2564.8,0,100
73.53,816.0,53.81,53.81,51.11,2896.0,0,100
73.17,820.0,19.18,19.18,21.63,368.0,0,100
74.4,806.4,32.81,32.81,38.88,1076.8,0,100
71.84,835.2,31.29,31.29,54.99,979.2,0,100
74.33,807.2,61.08,61.08,85.37,3731.2,0,100
73.31,818.4,40.46,40.46,68.29,1636.8,0,100
74.04,810.4,48.38,48.38,62.67,2340.8,0,100
74.11,809.6,38.43,38.43,47.58,1476.8,0,100
74.44,806.0,48.05,48.05,57.38,2308.8,0,100
75.38,796.0,35.69,35.69,51.22,1273.6,0,100
73.17,820.0,38.99,38.99,63.56,1520.0,0,100
75.15,798.4,48.05,48.05,48.74,2308.8,0,100
74.78,802.4,56.04,56.04,67.47,3140.8,0,100
75.38,796.0,46.65,46.65,60.0,2176.0,0,100
75.6,793.6,57.87,57.87,62.83,3348.8,0,100
73.17,820.0,51.3,51.3,61.64,2632.0,0,100
75.15,798.4,32.2,32.2,40.1,1036.8,0,100
73.24,819.2,28.48,28.48,38.68,811.2,0,100
74.94,800.67,50.43,50.43,78.55,2543.47,0,100
76.47,784.67,55.74,55.74,94.47,3106.67,0,100
73.89,812.0,32.0,32.0,41.18,1024.0,0,100
76.84,780.8,33.15,33.15,46.22,1099.2,0,100
74.55,804.8,35.49,35.49,47.24,1259.2,0,100
74.26,808.0,37.42,37.42,44.27,1400.0,0,100
74.55,804.8,40.63,40.63,58.38,1651.2,0,100
74.5,805.33,43.43,43.43,77.46,1885.87,0,100
76.99,779.33,23.79,23.79,37.05,565.87,0,100
75.83,791.2,32.67,32.67,41.13,1067.2,0,100
76.53,784.0,37.42,37.42,64.37,1400.0,0,100
74.78,802.4,40.85,40.85,53.63,1668.8,0,100
76.84,780.8,43.49,43.49,61.25,1891.2,0,100
76.27,786.67,23.55,23.55,24.92,554.67,0,100
75.76,792.0,35.69,35.69,44.47,1273.6,0,100
75.15,798.4,24.43,24.43,25.85,596.8,0,100
73.75,813.6,25.39,25.39,28.98,644.8,0,100
75.53,794.4,40.85,40.85,59.7,1668.8,0,100
74.04,810.4,46.36,46.36,69.11,2148.8,0,100
73.96,811.2,55.53,55.53,36.5,3083.2,0,100
75.3,796.8,49.1,49.1,61.61,2411.2,0,100
74.11,809.6,34.01,34.01,55.1,1156.8,0,100
76.14,788.0,40.89,40.89,46.9,1672.0,0,100
76.92,780.0,121.96,121.96,207.19,14873.6,1,100
70.96,845.6,61.36,61.36,67.02,3764.8,1,100
73.1,820.8,41.41,41.41,58.72,1715.2,0,100
72.89,823.2,41.99,41.99,53.4,1763.2,0,100
75.3,796.8,57.79,57.79,92.67,3339.2,0,100
71.77,836.0,44.09,44.09,67.23,1944.0,0,100
74.33,807.2,35.6,35.6,49.88,1267.2,0,100
72.74,824.8,39.13,39.13,44.94,1531.2,0,100
72.39,828.8,56.17,56.17,92.43,3155.2,0,100
75.15,798.4,120.15,120.15,191.43,14436.8,1,100
73.89,812.0,120.17,120.17,189.09,14440.0,1,100
74.57,804.67,48.89,48.89,65.34,2389.87,0,100
75.5,794.67,60.38,60.38,66.84,3645.87,0,100
74.26,808.0,14.14,14.14,21.45,200.0,0,100
73.53,816.0,32.37,32.37,38.94,1048.0,0,100
73.17,820.0,21.91,21.91,16.73,480.0,0,100
74.26,808.0,23.83,23.83,42.57,568.0,0,100
72.74,824.8,32.3,32.3,20.88,1043.2,0,100
74.4,806.4,51.82,51.82,69.89,2684.8,0,100
72.67,825.6,48.71,48.71,81.46,2372.8,0,100
72.39,828.8,36.7,36.7,42.19,1347.2,0,100
74.18,808.8,45.9,45.9,53.1,2107.2,0,100
71.7,836.8,21.05,21.05,33.11,443.2,0,100
73.75,813.6,26.62,26.62,37.47,708.8,0,100
73.31,818.4,20.32,20.32,26.68,412.8,0,100
74.94,800.67,26.7,26.7,21.69,713.07,0,100
74.44,806.0,40.3,40.3,59.89,1624.0,0,100
72.46,828.0,37.63,37.63,59.19,1416.0,0,100
74.11,809.6,51.58,51.58,77.12,2660.8,0,100
72.67,825.6,37.27,37.27,58.17,1388.8,0,100
74.4,806.4,36.62,36.62,51.58,1340.8,0,100
73.24,819.2,35.49,35.49,53.03,1259.2,0,100
72.74,824.8,27.19,27.19,40.3,739.2,0,100
74.11,809.6,40.65,40.65,52.57,1652.8,0,100
72.39,828.8,19.68,19.68,31.11,387.2,0,100
75.23,797.6,27.36,27.36,39.4,748.8,0,100
79.62,753.6,140.64,140.64,172.99,19780.8,1,100
76.99,779.33,148.93,148.93,262.44,22178.67,1,100
75.38,796.0,31.5,31.5,41.26,992.0,0,100
74.93,800.8,31.16,31.16,46.86,971.2,0,100
75.83,791.2,42.46,42.46,65.33,1803.2,0,100
73.96,811.2,40.73,40.73,49.48,1659.2,0,100
74.26,808.0,26.38,26.38,29.73,696.0,0,100
73.6,815.2,27.33,27.33,29.19,747.2,0,100
72.99,822.0,55.18,55.18,69.9,3045.33,0,100
60.0,1000.0,379.45,379.45,628.75,143978.67,0,100
55.15,1088.0,450.49,450.49,780.09,202944.0,0,100
74.57,804.67,42.36,42.36,68.84,1794.67,0,100
74.44,806.0,54.77,54.77,78.71,3000.0,0,100
74.04,810.4,49.53,49.53,84.05,2452.8,0,100
75.45,795.2,50.55,50.55,80.67,2555.2,0,100
73.96,811.2,51.02,51.02,65.82,2603.2,0,100
75.38,796.0,47.75,47.75,83.4,2280.0,0,100
74.93,800.8,24.72,24.72,31.62,611.2,0,100
79.3,756.67,38.73,38.73,53.96,1500.27,0,100
78.6,763.33,41.52,41.52,52.43,1724.27,0,100
77.88,770.4,18.89,18.89,29.26,356.8,0,100
77.4,775.2,13.68,13.68,23.66,187.2,0,100
73.96,811.2,29.58,29.58,36.99,875.2,0,100
73.75,813.6,33.89,33.89,48.54,1148.8,0,100
71.02,844.8,44.76,44.76,35.16,2003.2,0,100
72.6,826.4,60.31,60.31,42.28,3636.8,0,100
74.33,807.2,49.75,49.75,63.18,2475.2,0,100
74.18,808.8,53.25,53.25,73.21,2835.2,0,100
75.31,796.67,56.99,56.99,92.76,3247.47,0,100
76.6,783.33,19.34,19.34,21.01,373.87,0,100
77.88,770.4,23.08,23.08,30.59,532.8,0,100
76.84,780.8,17.53,17.53,22.36,307.2,0,100
77.64,772.8,161.85,161.85,262.83,26195.2,1,100
79.93,750.67,155.33,155.33,243.22,24125.87,1,100
79.2,757.6,40.26,40.26,37.31,1620.8,0,100
84.35,711.33,37.3,37.3,51.69,1391.47,0,100
82.72,725.33,35.48,35.48,40.75,1258.67,0,100
84.03,714.0,39.58,39.58,41.18,1566.4,0,100
82.64,726.0,46.84,46.84,59.6,2193.6,0,100
82.04,731.33,51.69,51.69,80.58,2671.47,0,100
82.27,729.33,39.25,39.25,63.37,1540.27,0,100
78.04,768.8,28.06,28.06,28.91,787.2,0,100
78.45,764.8,28.76,28.76,44.68,827.2,0,100
76.61,783.2,53.99,53.99,71.16,2915.2,0,100
76.47,784.67,41.14,41.14,52.64,1692.27,0,100
76.37,785.6,38.32,38.32,34.93,1468.8,0,100
75.3,796.8,44.04,44.04,69.89,1939.2,0,100
80.65,744.0,19.39,19.39,33.17,376.0,0,100
81.89,732.67,33.03,33.03,53.96,1090.67,0,100
82.69,725.6,39.86,39.86,53.74,1588.8,0,100
82.42,728.0,31.5,31.5,47.46,992.0,0,100
80.86,742.0,30.33,30.33,34.22,920.0,0,100
80.47,745.6,42.1,42.1,45.52,1772.8,0,100
77.05,778.67,29.79,29.79,46.85,887.47,0,100
79.09,758.67,16.33,16.33,25.04,266.67,0,100
78.29,766.4,27.94,27.94,44.41,780.8,0,100
76.92,780.0,10.2,10.2,7.48,104.0,0,100
79.44,755.33,29.98,29.98,49.35,898.67,0,100
77.0,779.2,55.81,55.81,77.33,3115.2,0,100
78.62,763.2,62.06,62.06,61.94,3851.2,0,100
77.08,778.4,43.51,43.51,46.48,1892.8,0,100
77.85,770.67,29.03,29.03,28.79,842.67,0,100
77.85,770.67,45.93,45.93,34.22,2109.87,0,100
78.21,767.2,54.51,54.51,54.04,2971.2,0,100
82.72,725.33,26.37,26.37,41.53,695.47,0,100
81.23,738.67,28.92,28.92,48.4,836.27,0,100
84.19,712.67,53.09,53.09,65.53,2818.67,0,100
85.8,699.33,39.95,39.95,39.19,1596.27,0,100
85.23,704.0,25.67,25.67,28.51,659.2,0,100
86.12,696.67,40.75,40.75,42.14,1660.27,0,100
81.97,732.0,37.01,37.01,55.17,1369.6,0,100
81.45,736.67,34.26,34.26,42.45,1173.87,0,100
78.62,763.2,30.38,30.38,45.48,923.2,0,100
81.74,734.0,29.04,29.04,24.66,843.2,0,100
82.19,730.0,37.84,37.84,35.69,1432.0,0,100
80.57,744.67,44.14,44.14,48.33,1948.27,0,100
81.08,740.0,37.86,37.86,65.34,1433.6,0,100
74.78,802.4,45.75,45.75,38.0,2092.8,0,100
75.83,791.2,37.14,37.14,36.11,1379.2,0,100
78.7,762.4,71.53,71.53,84.4,5116.8,1,100
74.33,807.2,126.38,126.38,216.76,15971.2,1,100
76.79,781.33,38.84,38.84,61.08,1508.27,0,100
76.4,785.33,51.02,51.02,76.77,2602.67,0,100
78.37,765.6,33.66,33.66,44.81,1132.8,0,100
76.3,786.4,41.72,41.72,61.74,1740.8,0,100
76.45,784.8,43.3,43.3,65.88,1875.2,0,100
78.26,766.67,25.88,25.88,36.96,669.87,0,100
79.93,750.67,43.72,43.72,74.23,1911.47,0,100
80.65,744.0,48.58,48.58,60.76,2360.0,0,100
79.86,751.33,6.89,6.89,8.2,47.47,0,100
83.03,722.67,31.46,31.46,44.65,989.87,0,100
80.04,749.6,34.36,34.36,25.46,1180.8,0,100
78.53,764.0,26.29,26.29,36.04,691.2,0,100
78.53,764.0,63.5,63.5,79.44,4032.0,0,100
74.04,810.4,30.01,30.01,45.78,900.8,0,100
74.48,805.6,47.21,47.21,81.54,2228.8,0,100
73.6,815.2,57.85,57.85,76.89,3347.2,0,100
72.25,830.4,33.78,33.78,41.33,1140.8,0,100
74.78,802.4,36.07,36.07,58.48,1300.8,0,100
72.46,828.0,45.08,45.08,74.03,2032.0,0,100
75.53,794.4,43.04,43.04,75.52,1852.8,0,100
72.25,830.4,16.15,16.15,21.07,260.8,0,100
74.81,802.0,39.17,39.17,58.19,1534.4,0,100
74.63,804.0,44.04,44.04,73.76,1939.2,0,100
75.45,795.2,21.05,21.05,25.22,443.2,0,100
75.68,792.8,31.67,31.67,31.94,1003.2,0,100
73.89,812.0,29.26,29.26,47.5,856.0,0,100
77.0,779.2,44.76,44.76,54.18,2003.2,0,100
75.45,795.2,33.87,33.87,49.36,1147.2,0,100
77.45,774.67,29.47,29.47,24.13,868.27,0,100
78.12,768.0,22.05,22.05,15.18,486.4,0,100
77.56,773.6,22.56,22.56,21.35,508.8,0,100
79.53,754.4,29.61,29.61,54.11,876.8,0,100
79.3,756.67,34.45,34.45,50.94,1186.67,0,100
80.72,743.33,22.83,22.83,30.72,521.07,0,100
78.86,760.8,30.25,30.25,22.72,915.2,0,100
76.37,785.6,37.91,37.91,63.15,1436.8,0,100
76.66,782.67,47.78,47.78,50.6,2282.67,0,100
75.08,799.2,45.99,45.99,63.18,2115.2,0,100
77.64,772.8,30.38,30.38,37.68,923.2,0,100
75.23,797.6,32.32,32.32,48.95,1044.8,0,100
76.45,784.8,35.82,35.82,33.76,1283.2,0,100
77.39,775.33,26.94,26.94,34.41,725.87,0,100
76.34,786.0,25.52,25.52,40.24,651.2,0,100
77.24,776.8,19.27,19.27,22.0,371.2,0,100
74.93,800.8,35.03,35.03,63.94,1227.2,0,100
76.14,788.0,46.04,46.04,59.16,2120.0,0,100
77.05,778.67,19.04,19.04,31.7,362.67,0,100
78.12,768.0,36.13,36.13,47.7,1305.6,0,100
77.72,772.0,37.2,37.2,63.56,1384.0,0,100
75.53,794.4,25.71,25.71,23.58,660.8,0,100
77.08,778.4,35.51,35.51,28.14,1260.8,0,100
75.83,791.2,50.07,50.07,31.3,2507.2,0,100
76.27,786.67,54.71,54.71,71.26,2993.07,0,100
78.6,763.33,55.16,55.16,58.46,3042.67,0,100
